date,hbm_asp_index,ddr5_spot_index,pc_shipments_yoy,smartphone_shipments_yoy,pc_sellthrough_yoy,inventory_days_oem,inventory_days_components,pcb_revenue_yoy,mlcc_revenue_yoy,driver_ic_revenue_yoy,unit_growth_yoy,asp_growth_yoy,ai_server_capex_yoy,consumer_sentiment,cpi_yoy,core_cpi_yoy,ppi_yoy,real_wage_growth_yoy,consumer_confidence,unemployment_rate,policy_rate,us10y_yield,credit_card_delinquency,oil_price_yoy,usd_index,retail_sales_yoy,sox_relative_strength,tsmc_relative_strength,memory_relative_strength,pcb_relative_strength,mlcc_relative_strength,valuation_risk_index,liquidity_stress_index,event_flag
2021-01-04,100.0,100.0,2.0,1.0,3.0,55.0,55.0,0.0,0.0,0.0,2.0,3.0,10.0,100.0,2.0,2.0,2.0,1.0,100.0,4.0,2.0,2.5,2.0,0.0,100.0,4.0,10.0,8.0,5.0,4.0,3.0,50.0,30.0,0
2021-01-05,100.08898776418242,100.07246376811594,2.0,1.0,2.994729907773386,55.032938076416336,55.04347826086956,0.0553359683794466,0.0527009222661396,0.0500658761528326,2.0039525691699605,3.0329380764163374,10.07786429365962,99.98418972332016,2.0027808676307006,2.0022246941045605,2.0055617352614017,0.9977753058954394,99.98155467720684,4.000263504611331,2.0027808676307006,2.5024471635150167,2.000527009222661,0.0278086763070077,100.00889877641823,3.995550611790879,10.013175230566535,8.009222661396574,5.02635046113307,4.0184453227931485,3.017127799736496,50.03893214682981,30.02635046113307,0
2021-01-06,100.17797552836484,100.14492753623188,2.0,1.0,2.989459815546772,55.06587615283267,55.08695652173913,0.1106719367588932,0.1054018445322793,0.1001317523056653,2.007905138339921,3.065876152832675,10.155728587319244,99.96837944664033,2.0055617352614017,2.004449388209121,2.011123470522803,0.9955506117908788,99.9631093544137,4.000527009222662,2.0055617352614017,2.504894327030033,2.001054018445323,0.0556173526140155,100.01779755283648,3.9911012235817576,10.02635046113307,8.018445322793148,5.05270092226614,4.036890645586298,3.0342555994729907,50.07786429365962,30.05270092226614,0
2021-01-07,100.26696329254727,100.21739130434784,2.0,1.0,2.984189723320158,55.098814229249015,55.130434782608695,0.1660079051383399,0.1581027667984189,0.150197628458498,2.0118577075098814,3.098814229249012,10.233592880978865,99.95256916996048,2.0083426028921023,2.006674082313682,2.0166852057842046,0.9933259176863182,99.94466403162056,4.0007905138339925,2.0083426028921023,2.50734149054505,2.001581027667984,0.0834260289210233,100.02669632925472,3.986651835372636,10.039525691699604,8.027667984189723,5.07905138339921,4.055335968379446,3.0513833992094863,50.11679644048943,30.07905138339921,0
2021-01-08,100.3559510567297,100.28985507246377,2.0,1.0,2.978919631093544,55.13175230566535,55.17391304347826,0.2213438735177865,0.2108036890645586,0.2002635046113307,2.015810276679842,3.131752305665349,10.311457174638488,99.93675889328064,2.011123470522803,2.0088987764182424,2.0222469410456063,0.9911012235817576,99.9262187088274,4.0010540184453225,2.011123470522803,2.509788654060067,2.002108036890645,0.1112347052280311,100.03559510567295,3.982202447163515,10.05270092226614,8.036890645586297,5.105401844532279,4.073781291172596,3.068511198945981,50.155728587319246,30.10540184453228,0
2021-01-11,100.44493882091211,100.3623188405797,2.0,1.0,2.97364953886693,55.16469038208169,55.21739130434783,0.2766798418972332,0.2635046113306983,0.2503293807641633,2.0197628458498023,3.1646903820816865,10.389321468298109,99.9209486166008,2.013904338153504,2.011123470522803,2.027808676307008,0.9888765294771968,99.90777338603424,4.001317523056653,2.013904338153504,2.512235817575084,2.002635046113307,0.1390433815350389,100.04449388209122,3.9777530589543937,10.065876152832674,8.046113306982873,5.13175230566535,4.092226613965744,3.085638998682477,50.19466073414905,30.131752305665348,0
2021-01-12,100.53392658509456,100.43478260869566,2.0,1.0,2.9683794466403164,55.19762845849802,55.26086956521739,0.3320158102766798,0.3162055335968379,0.300395256916996,2.0237154150197627,3.197628458498024,10.467185761957731,99.90513833992097,2.0166852057842046,2.013348164627364,2.0333704115684093,0.9866518353726362,99.88932806324112,4.001581027667984,2.0166852057842046,2.5146829810901,2.0031620553359684,0.1668520578420467,100.05339265850944,3.9733036707452727,10.079051383399207,8.055335968379447,5.158102766798419,4.1106719367588935,3.102766798418972,50.23359288097887,30.158102766798415,0
2021-01-13,100.62291434927695,100.5072463768116,2.0,1.0,2.963109354413702,55.23056653491436,55.30434782608695,0.3873517786561264,0.3689064558629776,0.3504611330698287,2.027667984189723,3.230566534914361,10.545050055617352,99.88932806324112,2.019466073414905,2.0155728587319244,2.038932146829811,0.9844271412680756,99.87088274044795,4.001844532279315,2.019466073414905,2.5171301446051166,2.0036890645586296,0.1946607341490545,100.0622914349277,3.9688542825361512,10.092226613965744,8.064558629776021,5.184453227931489,4.129117259552042,3.119894598155468,50.27252502780868,30.18445322793149,0
2021-01-14,100.7119021134594,100.57971014492752,2.0,1.0,2.9578392621870884,55.263504611330696,55.34782608695652,0.4426877470355731,0.4216073781291172,0.4005270092226614,2.031620553359684,3.2635046113306982,10.622914349276977,99.87351778656128,2.0222469410456063,2.017797552836485,2.0444938820912126,0.982202447163515,99.8524374176548,4.002108036890646,2.0222469410456063,2.5195773081201334,2.0042160737812917,0.2224694104560622,100.07119021134594,3.9644048943270302,10.10540184453228,8.073781291172596,5.210803689064559,4.147562582345191,3.137022397891963,50.31145717463848,30.21080368906456,0
2021-01-15,100.80088987764182,100.65217391304348,2.0,1.0,2.952569169960474,55.29644268774704,55.391304347826086,0.4980237154150198,0.4743083003952569,0.450592885375494,2.035573122529644,3.296442687747036,10.700778642936596,99.85770750988142,2.025027808676307,2.020022246941046,2.050055617352614,0.9799777530589544,99.83399209486166,4.002371541501977,2.025027808676307,2.52202447163515,2.0047430830039525,0.25027808676307,100.0800889877642,3.959955506117909,10.118577075098814,8.08300395256917,5.237154150197629,4.16600790513834,3.1541501976284585,50.3503893214683,30.23715415019763,0
