date,expiry,dte,cp,strike,close,bid,ask,volume,open_interest,iv,delta
2021-01-04,2021-02-15,30,P,12000,3.0,2.76,3.24,500,1000,0.25,-0.01
2021-01-04,2021-02-15,30,C,12000,6003.0,5522.76,6483.240000000001,500,1000,0.25,0.95
2021-01-04,2021-02-15,30,P,12500,3.0,2.76,3.24,500,1000,0.25,-0.01
2021-01-04,2021-02-15,30,C,12500,5503.0,5062.76,5943.240000000001,500,1000,0.25,0.95
2021-01-04,2021-02-15,30,P,13000,3.0,2.76,3.24,500,1000,0.25,-0.01
2021-01-04,2021-02-15,30,C,13000,5003.0,4602.76,5403.240000000001,500,1000,0.25,0.95
2021-01-04,2021-02-15,30,P,13500,3.0,2.76,3.24,500,1000,0.25,-0.01
2021-01-04,2021-02-15,30,C,13500,4503.0,4142.76,4863.240000000001,500,1000,0.25,0.95
2021-01-04,2021-02-15,30,P,14000,3.654052647388542,3.361728435597459,3.9463768591796256,500,1000,0.25,-0.0116073164453046
2021-01-04,2021-02-15,30,C,14000,4003.6540526473887,3683.361728435598,4323.94637685918,500,1000,0.25,0.95
2021-01-04,2021-02-15,30,P,14500,4.691896473162019,4.3165447553090575,5.067248191014981,500,1000,0.25,-0.0200575365378504
2021-01-04,2021-02-15,30,C,14500,3504.691896473162,3224.316544755309,3785.067248191016,500,1000,0.25,0.95
2021-01-04,2021-02-15,30,P,15000,6.0245143240076064,5.542553178086998,6.506475469928216,500,1000,0.25,-0.0344451956662111
2021-01-04,2021-02-15,30,C,15000,3006.024514324008,2765.542553178087,3246.5064754699283,500,1000,0.25,0.95
2021-01-04,2021-02-15,30,P,15500,7.735629515225135,7.116779154007125,8.354479876443147,500,1000,0.25,-0.0585369028743679
2021-01-04,2021-02-15,30,C,15500,2507.7356295152254,2307.1167791540074,2708.354479876444,500,1000,0.25,0.941463097125632
2021-01-04,2021-02-15,30,P,16000,9.932744911628935,9.138125318698624,10.727364504559253,500,1000,0.25,-0.0977725998507993
2021-01-04,2021-02-15,30,C,16000,2009.932744911629,1849.1381253186987,2170.72736450456,500,1000,0.25,0.9022274001492008
2021-01-04,2021-02-15,30,P,16500,12.753896924007392,11.7335851700868,13.774208677927986,500,1000,0.25,-0.1588691048809151
2021-01-04,2021-02-15,30,C,16500,1512.7538969240074,1391.7335851700868,1633.774208677928,500,1000,0.25,0.8411308951190849
